DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,VIEWS,WATCH_HOURS,LIKES,SHARES,COMMENTS,TOTAL_SUBSCRIBERS
2010-01-01,0,0,0,0,0,0,0,0
2010-01-02,0,0,1,0,0,0,0,0
2010-01-03,0,0,4,0,0,0,0,0
2010-01-04,0,0,6,0,0,0,0,0
2010-01-05,0,0,7,0,0,0,0,0
2010-01-06,0,0,9,0,0,0,0,0
2010-01-07,0,0,12,1,0,0,0,0
2010-01-08,0,0,14,1,0,0,0,0
2010-01-09,0,0,21,1,0,0,0,0
2010-01-10,0,0,26,1,0,0,0,0
2010-01-11,0,0,17,1,0,0,0,0
2010-01-12,0,0,19,1,0,0,0,0
2010-01-13,0,0,22,2,1,0,0,0
2010-01-14,0,0,19,1,0,0,0,0
2010-01-15,0,0,22,2,1,0,0,0
2010-01-16,0,0,40,3,1,0,0,0
2010-01-17,0,0,41,3,1,0,0,0
2010-01-18,0,0,33,3,1,0,0,0
2010-01-19,0,0,31,3,1,0,0,0
2010-01-20,0,0,31,3,1,0,0,0
2010-01-21,0,0,44,4,2,0,0,0
2010-01-22,0,0,40,3,1,0,0,0
2010-01-23,0,0,66,6,3,0,0,0
2010-01-24,0,0,58,4,1,0,0,0
2010-01-25,0,0,45,4,2,0,0,0
2010-01-26,0,0,50,4,2,0,0,0
2010-01-27,0,0,45,4,2,0,0,0
2010-01-28,1,0,56,5,2,0,0,1
2010-01-29,0,0,53,4,2,0,0,1
2010-01-30,1,0,85,7,3,0,0,2
2010-01-31,1,0,85,7,3,0,0,3
2010-02-01,1,0,74,6,3,0,0,4
2010-02-02,1,0,65,5,2,0,0,5
2010-02-03,1,0,59,5,2,0,0,6
2010-02-04,1,0,75,6,3,0,0,7
2010-02-05,1,0,63,5,2,0,0,8
2010-02-06,1,0,113,9,4,0,0,9
2010-02-07,1,0,92,7,3,0,0,10
2010-02-08,1,0,68,6,3,0,0,11
2010-02-09,1,0,83,7,3,0,0,12
2010-02-10,1,0,89,7,3,0,0,13
2010-02-11,1,0,86,7,3,0,0,14
2010-02-12,1,0,87,7,3,0,0,15
2010-02-13,1,0,131,10,4,0,0,16
2010-02-14,1,0,117,9,4,0,0,17
2010-02-15,1,0,87,7,3,0,0,18
2010-02-16,1,0,92,8,4,0,0,19
2010-02-17,1,0,109,9,4,0,0,20
2010-02-18,1,0,105,9,4,0,0,21
2010-02-19,1,0,86,7,3,0,0,22
2010-02-20,1,0,165,13,6,0,0,23
2010-02-21,1,0,157,13,6,0,0,24
2010-02-22,1,0,104,9,4,0,0,25
2010-02-23,2,0,120,10,5,1,0,27
2010-02-24,2,0,127,11,5,1,0,29
2010-02-25,2,0,129,11,5,1,0,31
2010-02-26,1,0,110,9,4,0,0,32
2010-02-27,2,0,178,15,7,1,0,34
2010-02-28,2,0,194,16,7,1,0,36
2010-03-01,2,0,140,12,6,1,0,38
2010-03-02,2,0,124,10,5,1,0,40
2010-03-03,2,0,130,11,5,1,0,42
2010-03-04,2,0,119,10,5,1,0,44
2010-03-05,2,0,121,10,5,1,0,46
2010-03-06,2,0,226,18,9,1,0,48
2010-03-07,2,0,242,19,9,1,0,50
2010-03-08,2,0,142,12,6,1,0,52
2010-03-09,2,0,162,13,6,1,0,54
2010-03-10,2,0,155,13,6,1,0,56
2010-03-11,2,0,142,12,6,1,0,58
2010-03-12,2,0,160,13,6,1,0,60
2010-03-13,3,0,270,22,10,1,0,63
2010-03-14,2,0,237,19,9,1,0,65
2010-03-15,3,0,186,15,7,1,0,68
2010-03-16,2,0,120,10,5,1,0,70
2010-03-17,3,0,180,15,7,1,0,73
2010-03-18,2,0,169,14,7,1,0,75
2010-03-19,2,0,165,13,6,1,0,77
2010-03-20,2,0,261,21,10,1,0,79
2010-03-21,2,0,209,16,7,1,0,81
2010-03-22,2,0,173,14,7,1,0,83
2010-03-23,3,0,186,15,7,1,0,86
2010-03-24,3,0,209,17,8,1,0,89
2010-03-25,2,0,174,14,7,1,0,91
2010-03-26,2,0,171,14,7,1,0,93
2010-03-27,3,0,269,22,10,1,0,96
2010-03-28,3,0,312,25,12,1,0,99
2010-03-29,3,0,200,16,8,1,0,102
2010-03-30,3,0,185,15,7,1,0,105
2010-03-31,3,0,208,17,8,1,0,108
2010-04-01,3,0,202,16,8,1,0,111
2010-04-02,3,0,221,18,9,1,0,114
2010-04-03,3,0,286,22,10,1,0,117
2010-04-04,3,0,300,24,12,1,0,120
2010-04-05,3,0,201,16,8,1,0,123
2010-04-06,3,0,179,15,7,1,0,126
2010-04-07,3,0,220,18,9,1,0,129
2010-04-08,3,0,221,18,9,1,0,132
2010-04-09,3,0,218,18,9,1,0,135
2010-04-10,3,0,321,25,12,1,0,138
2010-04-11,3,0,285,22,10,1,0,141
2010-04-12,3,0,215,18,9,1,0,144
2010-04-13,3,0,218,18,9,1,0,147
2010-04-14,3,0,210,17,8,1,0,150
2010-04-15,3,0,227,19,9,1,0,153
2010-04-16,4,1,242,20,10,2,1,156
2010-04-17,4,1,418,34,16,2,1,159
2010-04-18,4,1,361,30,15,2,1,162
2010-04-19,4,1,245,20,10,2,1,165
2010-04-20,4,1,239,20,10,2,1,168
2010-04-21,3,0,196,16,8,1,0,171
2010-04-22,4,1,244,20,10,2,1,174
2010-04-23,4,1,248,20,10,2,1,177
2010-04-24,5,1,466,39,19,2,1,181
2010-04-25,4,1,369,30,15,2,1,184
2010-04-26,4,1,260,22,11,2,1,187
2010-04-27,4,1,254,21,10,2,1,190
2010-04-28,3,0,226,19,9,1,0,193
2010-04-29,4,1,287,24,12,2,1,196
2010-04-30,4,1,280,23,11,2,1,199
2010-05-01,4,1,425,36,18,2,1,202
2010-05-02,4,1,359,30,15,2,1,205
2010-05-03,5,1,303,25,12,2,1,209
2010-05-04,3,0,229,19,9,1,0,212
2010-05-05,4,1,285,24,12,2,1,215
2010-05-06,5,1,330,28,14,2,1,219
2010-05-07,4,1,245,21,10,2,1,222
2010-05-08,4,1,389,33,16,2,1,225
2010-05-09,4,1,418,36,18,2,1,228
2010-05-10,4,1,264,22,11,2,1,231
2010-05-11,4,1,236,20,10,2,1,234
2010-05-12,4,1,282,24,12,2,1,237
2010-05-13,4,1,252,21,10,2,1,240
2010-05-14,5,1,297,25,12,2,1,244
2010-05-15,4,1,389,33,16,2,1,247
2010-05-16,5,1,498,43,21,2,1,251
2010-05-17,4,1,266,23,11,2,1,254
2010-05-18,4,1,280,24,12,2,1,257
2010-05-19,5,1,315,27,13,2,1,261
2010-05-20,4,1,256,22,11,2,1,264
2010-05-21,5,1,301,26,13,2,1,268
2010-05-22,5,1,502,43,21,2,1,272
2010-05-23,4,1,374,33,16,2,1,275
2010-05-24,5,1,305,27,13,2,1,279
2010-05-25,5,1,308,27,13,2,1,283
2010-05-26,5,1,326,29,14,2,1,287
2010-05-27,4,1,265,23,11,2,1,290
2010-05-28,4,1,264,23,11,2,1,293
2010-05-29,5,1,482,42,21,2,1,297
2010-05-30,5,1,474,42,21,2,1,301
2010-05-31,5,1,316,28,14,2,1,305
2010-06-01,5,1,319,29,14,2,1,309
2010-06-02,5,1,289,26,13,2,1,313
2010-06-03,5,1,319,29,14,2,1,317
2010-06-04,5,1,322,29,14,2,1,321
2010-06-05,5,1,437,39,19,2,1,325
2010-06-06,6,1,561,51,25,3,1,330
2010-06-07,6,1,332,30,15,3,1,335
2010-06-08,5,1,280,25,12,2,1,339
2010-06-09,6,1,339,31,15,3,1,344
2010-06-10,5,1,288,26,13,2,1,348
2010-06-11,6,1,346,32,16,3,1,353
2010-06-12,6,1,538,49,24,3,1,358
2010-06-13,5,1,444,40,19,2,1,362
2010-06-14,6,1,354,33,16,3,1,367
2010-06-15,6,1,337,31,15,3,1,372
2010-06-16,6,1,352,33,16,3,1,377
2010-06-17,7,1,388,36,18,3,1,383
2010-06-18,6,1,320,30,15,3,1,388
2010-06-19,5,1,455,43,21,2,1,392
2010-06-20,5,1,450,42,21,2,1,396
2010-06-21,5,1,303,29,14,2,1,400
2010-06-22,6,1,328,31,15,3,1,405
2010-06-23,6,1,343,33,16,3,1,410
2010-06-24,6,1,341,33,16,3,1,415
2010-06-25,7,1,361,35,17,3,1,421
2010-06-26,6,1,502,48,24,3,1,426
2010-06-27,7,1,576,55,27,3,1,432
2010-06-28,6,1,326,32,16,3,1,437
2010-06-29,8,2,428,42,21,4,2,443
2010-06-30,7,1,359,35,17,3,1,449
2010-07-01,6,1,309,30,15,3,1,454
2010-07-02,6,1,302,30,15,3,1,459
2010-07-03,7,1,534,52,25,3,1,465
2010-07-04,6,1,498,49,24,3,1,470
2010-07-05,7,1,365,36,18,3,1,476
2010-07-06,7,1,357,36,18,3,1,482
2010-07-07,6,1,339,34,17,3,1,487
2010-07-08,6,1,313,32,16,3,1,492
2010-07-09,5,1,291,29,14,2,1,496
2010-07-10,6,1,492,49,24,3,1,501
2010-07-11,7,1,562,57,28,3,1,507
2010-07-12,7,1,353,36,18,3,1,513
2010-07-13,6,1,302,31,15,3,1,518
2010-07-14,7,1,352,36,18,3,1,524
2010-07-15,7,1,360,37,18,3,1,530
2010-07-16,6,1,316,33,16,3,1,535
2010-07-17,7,1,530,55,27,3,1,541
2010-07-18,7,1,525,55,27,3,1,547
2010-07-19,6,1,309,32,16,3,1,552
2010-07-20,7,1,362,38,19,3,1,558
2010-07-21,7,1,370,39,19,3,1,564
2010-07-22,8,2,388,41,20,4,2,570
2010-07-23,8,2,388,41,20,4,2,576
2010-07-24,6,1,455,48,24,3,1,581
2010-07-25,6,1,478,51,25,3,1,586
2010-07-26,8,2,371,40,20,4,2,592
2010-07-27,8,2,371,40,20,4,2,598
2010-07-28,8,2,372,40,20,4,2,604
2010-07-29,10,2,491,53,26,5,2,612
2010-07-30,8,2,375,41,20,4,2,618
2010-07-31,8,2,593,64,31,4,2,624
2010-08-01,8,2,584,64,31,4,2,630
2010-08-02,8,2,379,42,21,4,2,636
2010-08-03,7,1,345,38,19,3,1,642
2010-08-04,8,2,384,43,21,4,2,648
2010-08-05,7,1,330,37,18,3,1,654
2010-08-06,7,1,349,39,19,3,1,660
2010-08-07,7,1,512,57,28,3,1,666
2010-08-08,8,2,544,61,30,4,2,672
2010-08-09,10,2,443,50,25,5,2,680
2010-08-10,6,1,292,33,16,3,1,685
2010-08-11,8,2,385,44,22,4,2,691
2010-08-12,6,1,303,34,17,3,1,696
2010-08-13,7,1,344,39,19,3,1,702
2010-08-14,9,2,603,69,34,4,2,709
2010-08-15,8,2,548,63,31,4,2,715
2010-08-16,7,1,324,37,18,3,1,721
2010-08-17,7,1,338,39,19,3,1,727
2010-08-18,9,2,389,45,22,4,2,734
2010-08-19,7,1,338,39,19,3,1,740
2010-08-20,8,2,373,43,21,4,2,746
2010-08-21,8,2,551,64,31,4,2,752
2010-08-22,8,2,514,60,30,4,2,758
2010-08-23,10,2,447,52,26,5,2,766
2010-08-24,9,2,391,46,23,4,2,773
2010-08-25,7,1,294,35,17,3,1,779
2010-08-26,8,2,376,44,22,4,2,785
2010-08-27,8,2,345,41,20,4,2,791
2010-08-28,9,2,603,72,36,4,2,798
2010-08-29,8,2,513,61,30,4,2,804
2010-08-30,8,2,368,44,22,4,2,810
